No	TMNo	EnNo	Name	INOUT	Mode	DateTime
1166	1	10		0	0	2016/06/25 10:20:03
1167	1	13		0	0	2016/06/25 10:49:44
1168	1	2		0	0	2016/06/25 17:50:34
1169	1	3		0	0	2016/06/25 17:50:45
1170	1	14		0	0	2016/06/25 17:51:54
1171	1	6		0	0	2016/06/25 18:07:27
1172	1	4		0	0	2016/06/25 18:07:59
1173	1	4		0	0	2016/06/25 18:07:59
1174	1	7		0	0	2016/06/25 18:28:26
1175	1	7		0	0	2016/06/25 18:28:26
1176	1	8		0	0	2016/06/25 18:45:35
1177	1	13		0	0	2016/06/25 18:50:12
1178	1	12		0	0	2016/06/25 18:58:26
1179	1	9		0	0	2016/06/25 19:02:10
1180	1	10		0	0	2016/06/25 19:02:19
1181	1	14		0	0	2016/06/26 07:05:00
1182	1	12		0	0	2016/06/26 07:09:05
1183	1	5		0	0	2016/06/26 08:17:09
1184	1	8		0	0	2016/06/26 08:24:16
1185	1	3		0	0	2016/06/26 08:24:30
1186	1	10		0	0	2016/06/26 09:35:52
1187	1	9		0	0	2016/06/26 10:16:24
1188	1	13		0	0	2016/06/26 10:53:38
1189	1	14		0	0	2016/06/26 14:42:20
1190	1	6		0	0	2016/06/26 18:26:11
1191	1	10		0	0	2016/06/26 18:28:50
1192	1	4		0	0	2016/06/26 18:32:04
1193	1	5		0	0	2016/06/26 18:33:07
1194	1	13		0	0	2016/06/26 18:49:33
1195	1	9		0	0	2016/06/26 18:57:26
1196	1	11		0	0	2016/06/26 19:20:38
1197	1	14		0	0	2016/06/27 07:02:35
1198	1	6		0	0	2016/06/27 08:10:11
1199	1	11		0	0	2016/06/27 08:12:25
1200	1	8		0	0	2016/06/27 08:20:02
1201	1	5		0	0	2016/06/27 08:25:12
1202	1	4		0	0	2016/06/27 08:30:53
1203	1	3		0	0	2016/06/27 09:04:11
1204	1	15		0	0	2016/06/27 09:55:49
1205	1	12		0	0	2016/06/27 09:56:05
1206	1	10		0	0	2016/06/27 10:00:35
1207	1	2		0	0	2016/06/27 10:12:40
1208	1	9		0	0	2016/06/27 10:19:01
1209	1	13		0	0	2016/06/27 10:59:34
1210	1	14		0	0	2016/06/27 14:24:52
1211	1	2		0	0	2016/06/27 16:08:53
1212	1	6		0	0	2016/06/27 17:59:31
1213	1	12		0	0	2016/06/27 18:01:53
1214	1	5		0	0	2016/06/27 18:17:42
1215	1	3		0	0	2016/06/27 18:25:33
1216	1	8		0	0	2016/06/27 18:25:44
1217	1	4		0	0	2016/06/27 18:25:51
1218	1	7		0	0	2016/06/27 18:47:35
1219	1	7		0	0	2016/06/27 18:47:35
1220	1	13		0	0	2016/06/27 18:56:40
1221	1	11		0	0	2016/06/27 19:03:35
1222	1	9		0	0	2016/06/27 19:18:58
1223	1	10		0	0	2016/06/27 19:30:03
1224	1	12		0	0	2016/06/28 07:09:53
1225	1	3		0	0	2016/06/28 08:15:41
1226	1	8		0	0	2016/06/28 08:15:57
1227	1	7		0	0	2016/06/28 08:24:35
